ell,DeltaCl_over_Cl_A_percent,DeltaCl_over_Cl_B_percent
349,-6.759728616103622e-27,-2.027918584831087e-26
350,-6.793990976617555e-27,-2.0381972929852668e-26
351,-6.828315515264841e-27,-2.0484946545794524e-26
352,-6.862702060077075e-27,-2.0588106180231228e-26
353,-6.897150439336682e-27,-2.0691451318010048e-26
354,-6.931660481576625e-27,-2.0794981444729873e-26
355,-6.966232015580118e-27,-2.0898696046740354e-26
356,-7.000864870380336e-27,-2.100259461114101e-26
357,-7.035558875260122e-27,-2.1106676625780365e-26
358,-7.070313859751706e-27,-2.1210941579255117e-26
359,-7.105129653636402e-27,-2.131538896090921e-26
360,-7.14000608694433e-27,-2.1420018260832993e-26
361,-7.174942989954126e-27,-2.152482896986238e-26
362,-7.209940193192648e-27,-2.1629820579577944e-26
363,-7.244997527434688e-27,-2.1734992582304065e-26
364,-7.280114823702698e-27,-2.1840344471108096e-26
365,-7.315291913266483e-27,-2.1945875739799451e-26
366,-7.350528627642927e-27,-2.2051585882928782e-26
367,-7.385824798595701e-27,-2.2157474395787106e-26
368,-7.421180258134973e-27,-2.2263540774404925e-26
369,-7.456594838517139e-27,-2.2369784515551415e-26
370,-7.492068372244506e-27,-2.2476205116733522e-26
371,-7.527600692065038e-27,-2.2582802076195111e-26
372,-7.563191630972052e-27,-2.2689574892916155e-26
