ell,Delta_Cl_over_Cl_A,Delta_Cl_over_Cl_B
1401,-0.0005713621354022266,-0.0017140864062066797
1402,-0.000571796750585175,-0.001715390251755525
1403,-0.0005722311141196846,-0.0017166933423590537
1404,-0.0005726652257606603,-0.0017179956772819807
1405,-0.0005730990852637038,-0.0017192972557911117
1406,-0.0005735326923851131,-0.0017205980771553392
1407,-0.0005739660468818799,-0.0017218981406456396
1408,-0.0005743991485116904,-0.0017231974455350714
1409,-0.0005748319970329234,-0.00172449599109877
1410,-0.0005752645922046487,-0.001725793776613946
1411,-0.0005756969337866281,-0.0017270908013598844
1412,-0.0005761290215393123,-0.0017283870646179367
1413,-0.0005765608552238407,-0.001729682565671522
1414,-0.0005769924346020413,-0.0017309773038061238
1415,-0.0005774237594364282,-0.0017322712783092845
1416,-0.0005778548294902015,-0.0017335644884706044
1417,-0.0005782856445272463,-0.0017348569335817392
1418,-0.0005787162043121315,-0.0017361486129363946
1419,-0.0005791465086101091,-0.001737439525830327
1420,-0.0005795765571871125,-0.0017387296715613374
1421,-0.0005800063498097566,-0.0017400190494292697
1422,-0.000580435886245336,-0.001741307658736008
1423,-0.0005808651662618245,-0.0017425954987854734
1424,-0.0005812941896278736,-0.0017438825688836208
1425,-0.0005817229561128123,-0.0017451688683384368
1426,-0.0005821514654866453,-0.0017464543964599358
1427,-0.0005825797175200527,-0.001747739152560158
1428,-0.0005830077119843885,-0.0017490231359531655
1429,-0.0005834354486516804,-0.0017503063459550412
1430,-0.0005838629272946277,-0.001751588781883883
1431,-0.0005842901476866011,-0.0017528704430598034
1432,-0.0005847171096016422,-0.0017541513288049267
1433,-0.000585143812814461,-0.0017554314384433832
1434,-0.0005855702571004366,-0.0017567107713013098
1435,-0.0005859964422356153,-0.0017579893267068458
1436,-0.0005864223679967097,-0.001759267103990129
1437,-0.000586848034161098,-0.0017605441024832942
1438,-0.0005872734405068233,-0.0017618203215204698
1439,-0.0005876985868125917,-0.0017630957604377747
1440,-0.0005881234728577722,-0.0017643704185733163
1441,-0.0005885480984223955,-0.0017656442952671864
1442,-0.0005889724632871531,-0.0017669173898614593
1443,-0.0005893965672333962,-0.0017681897017001885
1444,-0.0005898204100431349,-0.0017694612301294046
1445,-0.000590243991499037,-0.0017707319744971108
1446,-0.0005906673113844273,-0.0017720019341532817
1447,-0.0005910903694832868,-0.0017732711084498603
1448,-0.0005915131655802512,-0.0017745394967407535
1449,-0.0005919356994606108,-0.0017758070983818323
1450,-0.0005923579709103084,-0.0017770739127309248
1451,-0.0005927799797159393,-0.001778339939147818
1452,-0.0005932017256647505,-0.0017796051769942514
1453,-0.0005936232085446387,-0.001780869625633916
1454,-0.0005940444281441503,-0.0017821332844324509
1455,-0.00059446538425248,-0.0017833961527574398
1456,-0.0005948860766594702,-0.0017846582299784106
1457,-0.0005953065051556098,-0.0017859195154668296
1458,-0.0005957266695320333,-0.0017871800085961
1459,-0.00059614656958052,-0.00178843970874156
1460,-0.0005965662050934931,-0.0017896986152804788
1461,-0.000596985575864018,-0.001790956727592054
1462,-0.0005974046816858028,-0.0017922140450574084
1463,-0.0005978235223531964,-0.0017934705670595893
1464,-0.0005982420976611878,-0.0017947262929835632
1465,-0.0005986604074054044,-0.001795981222216213
1466,-0.0005990784513821129,-0.0017972353541463384
1467,-0.0005994962293882166,-0.0017984886881646494
1468,-0.0005999137412212553,-0.0017997412236637658
1469,-0.0006003309866794044,-0.001800992960038213
1470,-0.0006007479655614735,-0.0018022438966844208
1471,-0.0006011646776669063,-0.0018034940330007188
1472,-0.0006015811227957784,-0.001804743368387335
1473,-0.0006019973007487981,-0.0018059919022463942
1474,-0.0006024132113273036,-0.0018072396339819108
1475,-0.0006028288543332638,-0.0018084865629997913
1476,-0.0006032442295692761,-0.001809732688707828
1477,-0.000603659336838566,-0.001810978010515698
1478,-0.0006040741759449868,-0.0018122225278349603
1479,-0.0006044887466930169,-0.0018134662400790507
1480,-0.0006049030488877615,-0.0018147091466632845
1481,-0.0006053170823349489,-0.0018159512470048468
1482,-0.000605730846840932,-0.001817192540522796
1483,-0.0006061443422126855,-0.0018184330266380563
1484,-0.0006065575682578061,-0.0018196727047734183
1485,-0.0006069705247845117,-0.0018209115743535351
1486,-0.0006073832116016395,-0.0018221496348049186
1487,-0.0006077956285186461,-0.0018233868855559382
1488,-0.0006082077753456061,-0.0018246233260368182
1489,-0.0006086196518932112,-0.0018258589556796334
1490,-0.0006090312579727693,-0.001827093773918308
1491,-0.0006094425933962044,-0.001828327780188613
1492,-0.0006098536579760539,-0.0018295609739281615
1493,-0.0006102644515254696,-0.0018307933545764086
1494,-0.0006106749738582156,-0.0018320249215746467
1495,-0.0006110852247886683,-0.0018332556743660047
1496,-0.0006114952041318142,-0.0018344856123954426
1497,-0.0006119049117032508,-0.0018357147351097522
1498,-0.0006123143473191837,-0.001836943041957551
1499,-0.0006127235107964276,-0.0018381705323892827
1500,-0.000613132401952404,-0.001839397205857212
1501,-0.000613541020605141,-0.001840623061815423
1502,-0.0006139493665732727,-0.001841848099719818
1503,-0.000614357439676037,-0.0018430723190281106
1504,-0.0006147652397332762,-0.0018442957191998285
1505,-0.0006151727665654357,-0.0018455182996963068
1506,-0.0006155800199935619,-0.0018467400599806857
1507,-0.0006159869998393036,-0.0018479609995179105
1508,-0.0006163937059249092,-0.0018491811177747276
1509,-0.0006168001380732263,-0.0018504004142196786
1510,-0.0006172062961077013,-0.0018516188883231038
